"","gni","leb","eye","mmr","abr","prp","edu.rat","lab.rat"
"Peru",11015,74.6,13.1,89,50.7,22.3,0.851739788199697,0.808056872037915
"Albania",9943,77.8,11.8,21,15.3,20.7,0.930602957906712,0.685496183206107
"Armenia",8124,74.7,12.3,29,27.1,10.7,0.989473684210526,0.746556473829201
"Bosnia and Herzegovina",9638,76.5,13.6,8,15.1,19.3,0.643266475644699,0.595113438045375
"Ecuador",10605,75.9,14.2,87,77,41.6,1.01776649746193,0.66142684401451
"China",12547,75.8,13.1,32,8.6,23.6,0.816411682892907,0.816091954022989
"Fiji",7493,70,15.7,59,42.8,14,0.995348837209302,0.520833333333333
"Mongolia",10729,69.4,14.6,68,18.7,14.9,1.01426872770511,0.816738816738817
"Thailand",13323,74.4,13.5,26,41,6.1,0.875,0.796778190830235
"Libya",14911,71.6,14,15,2.5,16,1.32458233890215,0.392670157068063
"Tunisia",10404,74.8,14.6,46,4.6,31.3,0.711496746203904,0.354019746121298
"Colombia",12040,74,13.5,83,68.5,20.9,1.02338129496403,0.700125470514429
"Jamaica",7415,75.7,12.4,80,70.1,16.7,1.05413105413105,0.791255289139633
"Tonga",5069,72.8,14.7,120,18.1,0,0.990939977349943,0.7171581769437
"Belize",7614,70,13.6,45,71.4,13.3,1.00791556728232,0.597812879708384
"Dominican Republic",11883,73.5,13.1,100,99.6,19.1,1.04708097928437,0.652671755725191
"Suriname",15617,71.1,12.7,130,35.2,11.8,0.94692144373673,0.588662790697674
"Maldives",12328,76.8,13,31,4.2,5.9,0.834862385321101,0.725161290322581
"Samoa",5327,73.4,12.9,58,28.3,6.1,1.07166666666667,0.402397260273973
"Botswana",16646,64.5,12.5,170,44.2,9.5,0.944801026957638,0.881127450980392
"Moldova (Republic of)",5223,71.6,11.9,21,29.3,20.8,0.968944099378882,0.850678733031674
"Egypt",10512,71.1,13.5,45,43,2.2,0.724422442244224,0.316844919786096
"Gabon",16367,64.4,12.5,240,103,16.2,1.49307479224377,0.859327217125382
"Indonesia",9788,68.9,13,190,48.3,17.1,0.810975609756098,0.610451306413302
"Paraguay",7643,72.9,11.9,110,67,16.8,0.855813953488372,0.65683962264151
"Philippines",7915,68.2,11.3,120,46.8,27.1,1.03453689167975,0.641154328732748
